ID	Tweet	Intensity Class
30863	tagaddr give gleeful squeak wrap around mine	3
31215	happi choic life pleas everybodi aldub62ndweeksari	1
30275	want smoki cloud laughter swim forev	2
31206	better wetter dri thank tip val first gbbo hearti guffaw week	2
30715	breezi today go back school night bare leg like day	0
31255	tagaddr reason horror popular exhilar come discomfort enjoy watch green room	1
30786	life izn pleas other n n hell pleas	0
31372	taurus femal beauti sparkl jewel glow moonlight	2
31407	doubt smile best medicin	3
31242	tagaddr new breezi amp tiller	1
30565	tagaddr one appl attempt make muslim happi	0
30982	envi relentless cheer smile aim pour rain posit attitud art continu master	1
31382	fear unit bottl heart would actual collaps laughter	3
30745	earli morn cheer extrem obnoxi aldub62ndweeksari	0
30865	give cheer accept grate everyon bless maya angelou	3
30687	tagaddr tagaddr tagaddr wrong need leviti record	0
30769	tagaddr would like know sourc presid optim run countri wonder answer curios	0
31441	watch ny phil webcast someth miss remind blith journey end saw bway might gershwin	0
30818	lack compani liveli make bore	0
30000	got back see tagaddr burslem amaz face still hurt laugh much hilari	3
31545	peopl call pov kx4 make night hilari	3
30254	rojo hilari	2
30208	icon pochama nhe cute easili elat	2
31588	well draw live eflcup	1
30459	followback quote_soup happi everyth good see good side everyth optim	1
31338	tagaddr tagaddr tagaddr tagaddr tagaddr goddamn celebr draft end classic hilari	2
31213	tagaddr aww thank definit feel much better today messag cheer	3
30337	tagaddr drunken patroon make whole situat much jovial though	2
30768	shanghai chief distract leviti pampa proper dingl carri away uudqujcia	0
31302	idc predict 2020 term cloud longer use n nit manag administr everywher rejoic	0
30771	tagaddr yall dont feel bad rejoic itni alway coltsnat even 6th string dbs play	0
30896	feel good get outsid minut get fresh air hard stay coop insid day breezi	3
31233	best part day jesus snuggl embrac rest arm know love sweetembrac delight	3
31486	blast play game hear testimoni pastor jeremi hous fellowship food laughter prais gospel coffey1617	3
31594	tagaddr still find pleas	1
30749	f breezi	0
30169	get cabl hook new place time tagaddr tagaddr premier like god smile onechicago	2
30280	tagaddr know script ego maniac elat hear devout christian like phenoman	2
30666	tagaddr may send copi herothegreyhound either e book real paper one boy greyhound smile tear	0
30682	tagaddr love honesti best polici	0
31263	ok seem still hope bsnl nnow bb speed ok nbut thank elat much lest gone like	0
31059	tweet tweet chirp chirp loser	0
30370	watch amaz live ly broadcast tagaddr music	1
30495	cheer good temper spent remain ralph waldo emerson	1
30351	watch amaz live ly broadcast tagaddr music	1
30548	tagaddr felt like control give much selfless pleas groan	0
31221	brennan cook breezi get back togeth	2
31011	oii oiii tagaddr nthank alway make smile birthday 16 day mind follow gift x225 884	3
31598	whu old bill free time game chelsea come around nthat live say least n afc	3
31581	caught tagaddr wonder new seri ealingcomedi infecti delight everi interview film clip	2
31114	siguemeytesigo happi snapchat manuellynch99 venezuela	2
30521	tagaddr least walk past break laughter	1
31597	dehydr exhaust stress still bless optim	0
30218	start watch glee week addict glee gleek	2
31301	tagaddr tagaddr inject littl leviti person tweet coke rape tweet obvious idiot	0
31444	love sing time week choir come kwoir tagaddr tomorrow choir musiclondon	1
30519	incetown age 23 joy elev hope	1
30238	geo capabl cheer	2
30957	tagaddr tagaddr read fun lightheart cheer right doubl caviti	2
30330	tagaddr kinda girl pleas dick right	2
30249	rojo bad hilari	2
30732	val far cheeri like	0
31344	may man live well long enough leav mani joy widow behind	2
30032	love love love fun relaxationiskey	3
30284	watch amaz live ly broadcast tagaddr music	2
30667	tagaddr harwood gleeful new number bet money report look lose hillaryclinton liarthiefscoundrel	0
31377	tagaddr tagaddr much delight	3
30122	someth cool breezi fall day	3
30382	think tri comedi youtub alway fond time nut comedi maybeoneday hopefullyfunni lol	1
30377	joyous occas laugh ostentati display disrespect bruce scof entir scene batman	1
30089	good morn trondheim optim product	3
30810	tagaddr foreign polici goofi secretari state john kerri devil may care pose jaunti blue scarf	0
30952	angel delight everyth	2
30880	metal keep young spri keep hair luxuri n nye n nshut listen	1
30273	watch avatar wonder took long watch collaps joyous heap	2
31239	tagaddr hilar peopl realis racism racism regardless whether one use choic word hilari	0
31577	tri find good negat negat turn good n anxietyrelief openmind	0
30305	promis restor nation israel everywher look bless barn wine overflow everyth beauti do_u_se	2
30907	gbbo cheer	1
30436	repent trust christ lowli pain also joyous peac absolut glorious 2 2	1
31093	tagaddr tagaddr lol hilari	3
30942	tagaddr wait see hun cuddl gossip laughter	3
30995	shabazz name phone easi breezi beauti amp apolog	0
30935	blackish alway rollin	2
30917	tagaddr oh almost odd cheer big boss offer muzzl flash blind accident guy becam best friend	0
31592	tagaddr msm rejoic fool us bodi doubl long amp death secret like hawk	0
31327	head montalvo w jaxster3 bring mirth bitch nd _ b n nick_offerman n meganomul n summerof69tour2016	1
31352	tagaddr here get brock sabl tag team mr mrs awol watch glee	1
31612	refus chirp chirp girl	0
31044	uncl buck tho unclebuck	1
30248	someth v satisfi open old doc file abl check thing done	2
30683	listen oblivion score drink coffe research new sci fi anim project	0
30520	tagaddr tagaddr tagaddr rejoic everyth time moron taken genet pool	1
30016	tagaddr tagaddr howev rei offer job today well believ exponenti freak joyous feel	3
31150	sharpen pencil today sharpen sinc 1999	1
30605	athenian mirth order day ought honour give mirth greatest number law	0
30994	tagaddr tagaddr tagaddr see reason optim point string togeth bad perform	0
30348	watch amaz live ly broadcast tagaddr music	1
31021	start 22 minut week tagaddr straight paradigm shift level mirth	1
31101	world need laughter love littl r drake	1
31433	ilofitt laughter happi spiritu mental physic pizza kid pizza work hard facet fitlif	3
31013	tagaddr liter crack see post 2 year ago later	3
31214	tagaddr hahahahahaha oh gosh hilari black man tri keep racism aliv get man	1
30110	alway cheer smile often make other happi care other help feel helpless vulner life feel good leadership	3
30151	contentwiththelordsport satisfi us earli thi merci may rejoic amp glad day ps 90 14 glad joy	3
30250	due big chang pray think deserv posit	2
30106	effici great smile servic tagaddr store impress team genius readi redefin custom servic	3
31408	alway hurt somewher alway tire live	0
31402	incred nawaz sharif said pakistan victim terror amp talk abt develop pak incred control laughter	0
30968	keep smile	2
30391	depict feel right feel jubil yet anxious dunno seem like someth worth wait everyday	1
31379	love new show tagaddr	3
31058	tagaddr could add jaunti bow bell	1
30766	categ gen amp obc cost 100 nill reserv support sir minim fee bright fut tagaddr	0
30401	watch amaz live ly broadcast tagaddr live music	1
31514	liter die amp live time catch tagaddr twitter follow life basic	0
31439	ironi hilar make taylor lautner super cold time lost god miss show screamqueen	3
31090	girl love perfum someth bout	3
30306	look forward detour bring delight surpris lifequot delight	2
30014	tagaddr whole time watch tagaddr lost glass hilari tagaddr	3
30892	sioux valley win home competit cheer invit score 158 dell rapid second 138	2
30740	onesimplechang drink sparkl water instead soft drink steer clear fructos still get refresh carbon kick	0
30870	tagaddr get subway melt make sure hearti italian bread black oliv must though	0
31121	still laugh bitch took pillow line kurt	2
30286	accept challeng feel exhilar victori	2
30199	bunk ur class least life time cuz later u look back good mark make u happi memori apj	2
30805	tagaddr tagaddr annoy good love fan onis includ realli annoy peopl cheer	0
31419	final brace stop smile	3
20823	realli hate mel sue think hilari aw	0
30359	time go hit librari love pile book reserv collect morn book read	1
31401	pochettino buoyant complimentari young player say attent turn middlesbrough thfc tagaddr	0
31527	tagaddr breezi deserv	1
30438	tagaddr wors expect hilari one even rememb	1
31034	girlfriend cook dinner spag blow sure need help girlfriend	3
30661	tagaddr drop 1133 cheeri	0
30266	tagaddr exhilar	2
31040	smile mean thousand word also hide thousand problem fact teamfollowback	0
30911	race advanc extra achiev individu individu charl town n optim inspir	0
30452	zeth voic hit target n hold upsid cheer towel	1
30193	think tri comedi youtub alway fond time nut laughter comedi maybeoneday hopefullyfunni lol	2
31052	everi time hear tagaddr organ kick new tagaddr break goofiest smile	3
30432	anyon know marin today mood seem strang jubil meatloaf say 2 3 bad unless win one	1
31238	well exhilar know could goosebump 2 hrs 5m straight	2
30927	tagaddr yeah bro ea hella exhilar	2
30493	tagaddr love honesti best polici smile	1
31442	night sparkl let go ni wonder struck nblush way home	3
30711	god facebook design start remind myspac heyday	0
30700	one time saw rachel glee tell someon job pole said 5th grade boy look confus	0
30569	blake live flawless	0
31381	tagaddr conni came back hey seem bit live	1
30685	tagaddr amp tagaddr must rejoic ovet charlott protest n northcarolina	0
31450	understand pleas ear want tire	0
30770	unixwar skydriv coki hearti exact blame onlin hephxho	0
30688	smile stress	0
31544	ari look hilari oh g much	3
30393	rejoic final match draw reveal face citi next life sef	1
30955	terribledebatequest given mani laugh afternoon thank twitter hilari cleverpeopl	3
31147	gave u20 rugbi bet rooster nrl	0
30410	ukedchat a4 go outsid gym hall play n educ play learn	1
30124	tagaddr without cake see wee cheeri face alway joy xx	3
31425	tagaddr think yawn actor die drug overdos	0
30654	bet dat dog eat name brand cheerio cant relat eat cheeri	0
31006	tagaddr whole time watch tagaddr lost glass hilari tagaddr	3
30923	happi live nyc see tomorrow samheughan tagaddr	3
30634	take strang delight see mark hugh struggl	0
30349	vacat wise egypt offer great place amaz sceneri bright sky good weather good afford price student	1
30144	rigg dumb ass hell lolol hilari lethalweapon	3
31385	lunat asylum place optim flourish	1
30651	tagaddr least will discuss better keep insult light occasion leviti creativ bs ing	0
30496	tagaddr heavi 2 day given much need leviti thank bro	1
30040	tagaddr tagaddr fun funniest person funsvill much hilar usual thank	3
30727	12 01 tumblr becam sentient 1 02 tumblr post gn anim gif 12 03 tumblr ship	0
31503	bit cook actual tast ok cook raw bit tast aw 5 5 hilar 1 5 tast 0 5 safe ingest	0
31373	tagaddr life yell surpris surpriiis chirp cheer wick grin lip	2
31253	hi luke hem n n n nif flower everi time made smile garden pleas follow n n ni love x16 092	3
31389	tagaddr need cheer	0
30028	tagaddr good morn love happi first day fall let make awesom autumnmemori annabailey	3
31568	tagaddr happppi happppyyyyyy happppppyyyyi haaapppyyyy birthday best friend love lot chapter22 bdaygirl love	3
30872	tagaddr spirit	0
30429	panda eye jaunti watch jaw late	1
30516	tagaddr oh good girl hope cheer	1
30804	sometim watch shitti tv reinforc never give cuz someth fuck aw tv still stand chanc optim	0
30595	happen breezi	0
30177	tagaddr fine near futur want go bed super elat put togeth audio compil great moment	2
31211	tagaddr n n see drink n na play wink pass pull small lot	1
30301	watch amaz live ly broadcast tagaddr live music	2
30877	tagaddr issu broadband bill charg month sign airtel hilari	0
31142	wonder see show token man glasgowgirl uproari gleeful import amp uplift go see tagaddr	2
30603	follow instagram 1 0 7 love tagsforlik tfler tweegram photooftheday 20like amaz smile follow4follow like4lik look	0
30168	tagaddr look back recent tweet seen one right great perfect speechless deal	2
31494	take littl make child life joy work hard make live hell tagaddr peac	0
30978	redwin	0
30367	tagaddr fanci never put also vote jaunti angl one judg	1
30932	martin roth leav v amp shoe effect brexit bright talent foreign made feel unwelcom leav u k c4new	0
31250	ryan murphi creat ah glee nso differ	0
30368	tagaddr keep vest sweater pack year round help chilli morn breezi mountain top mysportinglif	1
30378	tagaddr tagaddr tagaddr still get jimmi garoppolo head almost 3 week thank lot	1
30555	watch amaz live ly broadcast tagaddr music	0
30620	today realis last time watch swim lesson cos go back work next week lead joyous bedtim worstoneyet	0
31018	tagaddr follow u pal smile	0
30901	hearti jonza friend follow	3
30107	way wear smile gave today n smile	3
31054	tagaddr thank gen love miss happi birthday natong duha	3
30135	tagaddr tagaddr make giggl glee	3
30096	probabl best ot period ever seen absolut exhilar wch2016 teamna	3
30638	tagaddr well heyday afraid expect 1st babi reckon age 15 gulp old	0
30774	rememb glee take leav cover two girl werent even friend	0
31482	tagaddr brilliant lol hope see hors tomorrow cheer equestrianhour	0
30426	reliv vega heyday rat pack tribut	1
31049	learn key convert lean someon els door open door success n n x33 smile	2
30737	tagaddr sparkl water wyd	0
31109	tagaddr happi birthday sweeti sweet 21 hun hope u wonder day wondr joy year better last one luv u	3
30954	want let everyon know wonder peopl beyourself late night compliment behappi	3
31005	jk start week strong still go strong	2
31506	tagaddr thank unfail bring much joy life incred talent maker mirth	3
30967	tagaddr yes n nmake smile happi nshe deserv happi	3
31310	well stock finish amp list live room move around new edit done amp fit visit law productivityatitsfinest	2
30801	u talk 2 ask r thing 2 get 2 say someth u want 4give elat 2 start convers u	0
31573	sanatana lopez definit	2
31007	town live someth happen	0
30048	retweet gunnysmith93 stephen21smith n nday like today happi aliv bless	3
31395	tagaddr fact leviti movi theater post actual play n serv best part movi like thehulk	0
31285	tagaddr feel exact way also read akon voic provid hearti chuckl	2
30480	human race one realli effect weapon laughter mark twain	1
30302	watch amaz live ly broadcast tagaddr live music	2
31170	excit usernameregener wait wish could get sign copi happi tagaddr	3
31286	yet read dutch driver happi theori could quit drive still great transpo option	1
30049	wish happi birthday awesom dancer ruthann hope day magic bday eatcak	3
31193	alway smile alway happi	3
30618	tagaddr sparkl water nice know tri day	0
30944	god hear voic optim moment think everyth fail	0
31194	tagaddr thank oh much mani challeng much rejoic	3
31024	avoid hearti basset hound time present time american brave ydxef	0
30084	tagaddr wait	3
31205	took yr school proud say got accept yo girl go finish happi	3
31304	tagaddr tagaddr fat buoyant day 1 water stuff	0
30369	tagaddr much cheer see	1
30566	tom phillip jovial start week show joe strut video packag quit juxtaposit	0
31530	near aesthet pleas enough lol need ps phone	1
31180	tagaddr total understood point need better messeng laughter piss	0
30440	queen bey smile sixth afternoon	1
31319	yesterday histori tomorrow amysteri today gift call present livelif humbl smile live	1
30584	tagaddr chew smile arcdent turlock	0
31105	tagaddr tri cheer upbeat piec walk histori usual arti docu type find trace	0
31190	tagaddr want achiev level optim	0
30602	tri lovee somebodi wan na love somebodi right guess pleas	0
30796	tagaddr look way let think rohan last week	0
30012	yeah paul glorious bb18	3
31584	bridesmaid dress carnal delight addit separ rfpbax	1
30606	bird chirp sun shine wind chime chime smile face	0
30319	watch amaz live ly broadcast tagaddr music	2
31487	got dick recent right happi sick smile life good	1
30085	tagaddr beyond wonder sing prowess phenomen damn elat watch act thisisus	3
31406	futur bright rememb	2
30390	aspir val self confid optim tbh gbbo	1
31085	tagaddr 5679787 dm follow delight parti fail letdown	0
30943	tagaddr wait see hun cuddl gossip	2
31171	man know juggl ball n funni pun lol hilari punni	3
30335	tagaddr oh pleas inc talk loot say bjp pure hilari ironi tagaddr def better	2
31280	go one extra mile see smile	2
30775	need bit gbbo cheer terribl day	0
31510	win lose draw vs lfc footbal fan rejoic west ham amp chelsea fan beat shit council hous coy	2
30508	maketh barren woman keep hous amp joy mother children nprais ye lord npsa113 9	1
31099	thenicebot wsjnordic make world joy place thenicebot mpn demilovato	3
30421	yahweh god among warrior save rejoic glad	1
30552	tagaddr exhilar hockey still russia win regul read fuck	0
30046	love cheeri ador tagaddr get everi time produc new content	3
30400	tagaddr tagaddr kati love describ normal realli anyth hilari neverchang	1
30099	tagaddr look back recent tweet seen one right great perfect hilari speechless deal	3
30247	man know juggl ball n funni pun punni lol	2
30530	back tagaddr elat record tagaddr fuck shit studio even	1
30974	honor take role joyous day hope fuck	1
31538	light shine thru clear sparkl stream piss sight women never know also tell tht system ure system healthi	1
31335	hearti thank join tonight delici british dish menus beerclub	2
30001	oh dear even absolut hilar think laugh much long time	3
30625	pre prepar direct play hale hearti situat child evolv cmmyd	0
30136	live simpli dream big grate give love laugh lot unknown quot inspir happi	3
31289	swear got play ass bf ever	3
31014	tagaddr liter crack see post 2 year ago later hilari	3
31115	tagaddr tagaddr ditto amaz atmospher philippplein cheerlead stunt londonev	3
31534	bad kurt liter	0
30759	gloriosa bazigaga rwanda work lost relat genocid 15 yrs peacebuild given optim within power	0
31072	tagaddr sick rejoic half	1
31318	yesterday histori tomorrow amysteri today gift call present livelif humbl live	1
30632	love dog play realli scratch face flail paw excit almost tore nose ring	0
31458	tagaddr trump laugh anyway express never chang smile moment leviti noth racist	0
31223	good master vernon welcom nephew bellario nthere lord thou interrupt st merriment	0
30414	tagaddr brilliant lost joyous plot us year admit fan	1
30931	tagaddr possibl kg bought player buy glen minor owner optim	0
30341	futur must bright af	1
31088	tagaddr tagaddr tagaddr hilar someon liter open anti scienc call other anti scienc	0
31606	tagaddr el turn around smile hug gentl	2
30503	think 2016 realli need round tagaddr vs tagaddr twitter debat end someth joy ya know	1
31464	would enriqu sub busquet hilari	2
30053	food get deliv cheer happi	3
30664	tagaddr plan date like date u find pleas smth fuckign n n10 10 child grow ten ten	0
31164	tagaddr stop smile	3
31002	imagin teppu got anim madhous tho gt _ lt	0
30373	watch amaz live ly broadcast tagaddr live music	1
31507	tri find good negat negat turn good n anxietyrelief optim openmind	1
30039	get comed relief w tagaddr season premier modernfamili girl need hilari	3
21478	thisisus mess mind amp anticip next episod apprehens amp delight isthereahelplineforthi	1
31129	spent 40 big littl sis tomorrow beyond happi saw mum	3
31065	set ideal face realiti honest cheer possibl karl menning 2ndhalfwealth	0
31130	bribe parent hearti laughter giggl loveet	3
30091	pet store worker ask want play exhilar feel	3
31312	tagaddr tagaddr write sort play cynic	2
30969	ever wake instant feel happi	2
31047	make happi tagaddr tagaddr	3
30811	fuck bright amp fuck hot outsid	0
30622	worri someday yell kid confus serious n ni damn play	0
31197	tagaddr got quit cheeri young soul fan	3
30509	watch amaz live ly broadcast tagaddr live music	1
30074	smile brighten day day everyon around rememb smile free	3
30716	tagaddr cheer punkin	0
31589	laughter power thing everybodi deserv laugh u like shitti romcom get giggl outta planet uranus power u	2
30876	dolor thin lip smile grace gloss lip let blue peer woman constant delight alway	2
30240	make someon happi _	2
30137	happi bright ident timelesstip friendship famili forest water famili truelov god roadsofar lifetrip	3
30116	tagaddr tagaddr tagaddr still get jimmi garoppolo head almost 3 week thank lot hilari	3
30698	meanwhil call fan sit knit sleep sure certain cheer like team fan	0
31563	tagaddr christma episod genuin tear laughter	3
30794	tagaddr know nj worst purpos	0
30343	watch amaz live ly broadcast tagaddr music	1
31591	lethalweapon suicid vet ptsd fuck funni let hilar begin	2
30424	watch amaz live ly broadcast tagaddr music	1
31488	learnt smile good morn goe long way say thankyou goe even quot retweet inspir	2
30092	tagaddr good morn let start smile nlet enjoy life cheer way ndon worri happi	3
31541	tagaddr sam grin steve lip murmur word play tone want shirt sure could accommod	1
30277	watch amaz live ly broadcast tagaddr live music	2
30051	omg got watch new seri us wow best tv show seen long time n tear laughter moretear	3
30392	tagaddr treat viewer watch u janak simpli treat soul mind thought hearti respect	1
30038	today reach 1000 subscrib yt happi goodday thank	3
30929	brown nose listen lot hous minist tagaddr nhf16 impress	0
30940	love memori random pop ninto head smile like n idiot age	3
30975	reason smile everyday	3
30704	bounti hunter thing bit live	0
30534	cheer heart good medicin crush spirit dri bone proverb 17 22	1
31265	news suppos damn happi rejoic like	0
31023	tagaddr tagaddr gleeful inspir convinc win last strongman	2
30914	twd come soon happi	3
30615	truck delight delight truck	0
30848	readi nice breezi calm sunshin weather autumn	2
31475	accept challeng feel exhilar victori georg patton quot yeg	1
30100	found marmit australia happi	3
30323	tonight top delight skein gees fli 1 foot swam windermer breez drop amp becam like glass	2
30242	go follow beauti snowgang amynicolehill12 princess fit bodyposi haircut smile whitegirlwednesday	2
30798	three day month two ex wive home could wors know could oilandga	0
31483	happi birthday shorti stay fine stay breezi stay wavi tagaddr	2
30255	play lol need somebodi joke day long caus ill never get tire	2
31337	tiller breezi collab album rap sing prolli fire	2
30468	watch amaz live ly broadcast tagaddr live music	1
30561	prospect get choke hot daddi tonight sorta cheer also kinda wan na watch new ah episod lol	0
31485	blast play game hear testimoni pastor jeremi hous fellowship food prais gospel coffey1617	3
30596	love cheer woman store someon els furnitur etern sold granddesign	0
30476	cheer sloth annot old book good man god end evil	1
31025	altern realiti tagaddr comment section give poem cheeri thumb disappoint thumb	0
30684	tagaddr u use chirp drink u hoe	0
30415	medic proven laughter effect pain killer	1
30427	wish glee version tagaddr stitch tagaddr gleekforev	1
30789	tagaddr forth charact gleeful enough	0
30939	tagaddr korgoth barbaria brutal king julian hilar ariel hot	1
31590	got much fan vixx keep smile	3
30075	watch joy nois 100000000 time cuz love movi tagaddr	3
30461	assum peopl pick jovial coz lol lot work mayb need get heavi hand emoticon ha	1
30762	cheer na team want gaudreau come back one piec get way riski	0
31424	tagaddr think yawn actor die drug overdos glee	0
30612	tagaddr tagaddr provid dignifi profession funer price famili afford satisfi client bright pig	0
30486	tagaddr trust know appreci willing explain detail attempt leviti tagaddr	1
30009	tagaddr thought holiday could get cheer met thenicebot	3
30011	meant happi happi	3
30961	tagaddr ciara ask sci fi movi juli amp jen stare clair phone joey bolt cab honk lmao hilari	3
31557	never make decis angri gt _ lt never make promi happi	0
30191	lmboo use nephew meme hilari	2
31533	bad kurt liter glee	0
30021	wake dream laugh someth stupid make laugh hilari	3
31363	today answer call colleg rep realiz got hear part live debat evolut real	0
31091	girl love perfum someth bout breezi	2
30720	light day per heyday popular backfir cinematographi xucqb	0
30819	quinn short hair make sad glee	0
30380	prof suggest tagaddr william jame may unlik dialogu partner play happi video wearecst	1
30320	tagaddr asid pleas individu involv pleasur come pleasur	2
31227	tagaddr beg never stop smile deserv happi know beauti thing life offer	2
30102	wish happi birthday awesom dancer ruthann hope day magic bday happi eatcak	3
31202	tagaddr nheart pure smile nso bright love nmore number nof star night nkind follow pleas nharri n 90 127	3
30979	tagaddr tagaddr next time make sure everyth sparkl clean	0
30919	beauti day lord made rejoic glad	3
30607	tagaddr ad littl leviti	0
30993	geometri today hannah start cri laughter ms canning said pp lol	2
31298	watch tagaddr 2nd season 1st episod twice alreadi still joy plan watch	3
30467	whether rejoic fight back tear god want share moment	1
30924	accept challeng may feel exhilar victori	0
31504	tagaddr im delight	2
31022	someon teach cheer someon	0
31245	say lover pale green light nhe hover high moon shine bright	1
30130	contentwiththelordsport satisfi us earli thi merci may rejoic amp glad day ps 90 14 glad joy delight	3
31531	tagaddr tagaddr due hearti lawsuit nascar rais beer price 0 07 accommod loss	0
30241	metro lrt went walterdal yeg	2
30198	personaldevelop n ntoday gift call present happi optim entrepreneur personaldevelop	2
30599	free open breezi enjoy thing get better get use	0
30356	transit new job hard noth joy memori previous one thank tagaddr chang life	1
30864	tagaddr develop forc smile forc describ littl hearti mayb sanki biraz	0
30551	rip30 heaven rejoic gain angel keifer famili prayer	0
30363	accept challeng feel exhilar victori	1
31131	tagaddr smile face beat heart thank kind much mind follow 96 127	3
30470	tagaddr tagaddr lol sparkl wine	1
20601	research determin 70 laughter actual anxieti	0
30879	tagaddr joyous worri would disappoint definit chickflick giggl comethefuckonbridget	3
30998	tagaddr first time watch vid die laughter keep dude	3
31453	know beauti smile best curv	3
31235	forgot thank tagaddr tagaddr share tagaddr day make happi video	2
31028	tagaddr tagaddr suck wormhol hilar escap say weird accur	2
30060	made night tagaddr reid includ tonight hilar point brilliant thank tagaddr	3
30403	tagaddr boss see someon jovial funni tho av met u person	1
30838	embarrass saw us like knvfkkjg think stalker n start wave cheer invit us	0
30077	futur plan feel much happier goal life igotthi yay	3
30888	tagaddr start new challeng glee poll everi day	2
30988	18 nmichael carrick struck back net much delight pressur man u fanz mou	1
30423	alway emotionalhedg w wps n ni elat start mention tamu 6	1
30185	tagaddr got staystrong smile yourebeauti	2
31473	swear peopl dont wan na see happi like tri anyth fuck got go	0
30442	tagaddr nwho nose scent rose went nto spot orient nmummifi nin rapese oil fri neat drink amp merriment	1
30005	today reach 1000 subscrib yt goodday thank	3
30008	got back see tagaddr burslem amaz face still hurt laugh much	3
30724	miseri love compani church ought place find none n pastor kris theobald joy	0
30340	watch django unchain peopl may frown titter delight 2 5	1
31026	tagaddr okay need go way make sure pleas everyon make happi	0
30237	elinor laugh littl known everi bodi brilliant cheer sweetmeat fashion	2
31456	tagaddr convinc mom watch killgrav gave liter nightmar watch last episod four time	0
30971	tagaddr tagaddr singl tear joyous delet monster brought generat despair	0
31571	accept challeng feel exhilar victori n n mbmcliss	1
30264	love tagaddr independ msg tagaddr happi amp fulfil within amp posit flock independ	2
30878	tagaddr issu broadband bill charg month sign airtel	0
31410	attitud toward struggl equal import action work optim	1
31431	impract joker practic genius tagaddr good4thesoul impracticaljok bingewatch	3
31276	wan na get danc everyon bed suck everyon wake hyper happi letsdanc dirtydancinginthemoonlight	3
31173	man know juggl ball n funni pun punni hilari lol	3
31064	excit see nat tonight happi cheeri amp even excit get social media bb18	3
30365	tagaddr enliven soul	1
30479	give cheer accept grate everyon bless n maya angelou n n drmayaangelou rip mayaangelou	1
30600	lil remind privat account delight shittalk occasion nsfw stuff tagaddr	0
31340	tagaddr tagaddr still younger spri trump	0
30405	talk problem greatest addict break habittalk ur joy quot problemsolv behappi	1
30921	sometim like talk sad time want distract friend laughter shop eat n n mhchat	0
30489	laundri watch 70 show bunch stranger happi birthday	1
30873	yiu respond email within 7 day willxb kill anim gif girl froa ri g	0
30524	tagaddr tagaddr look like book shape like gun optim itsagunalright	1
30714	tagaddr rejoic lil bit prematur dont think	0
30464	watch amaz live ly broadcast tagaddr music	1
30383	tagaddr see michell cheeri	1
30311	watch amaz live ly broadcast tagaddr live music	2
31203	tagaddr best whiney jerkass heel sinc tagaddr heyday wcw n luchaunderground	1
